Vehicle ID,Origin,Destination,Travel Time,Distance,Emissions,Avg Speed,Passengers,Completed
161,1342,1770,248.006,3284.23,5.84299,13.2425,5,Yes
162,1108,1327,153.7,2597.16,4.87495,16.8976,3,Yes
163,1496,30,1384.21,12946.8,14.5074,9.35324,3,Yes
164,1546,1375,1592.06,9126.85,11.945,5.73274,2,Yes
165,557,521,91.9992,362.382,0.4245,3.93897,3,Yes
166,1854,4,1062.99,8075.05,11.868,7.59656,5,Yes
167,1784,1020,231.905,2790.77,4.2999,12.0341,5,Yes
168,1086,1698,970.21,4434.87,6.84233,4.57104,2,Yes
169,659,1589,330.811,1604.04,3.14363,4.8488,5,Yes
170,1729,1604,1096.28,8618.28,14.4166,7.86139,1,Yes
171,950,630,95.0991,458.755,0.635861,4.82396,4,Yes
172,1321,1579,1398.71,7826.9,15.1584,5.59582,1,Yes
173,1438,400,655.887,5723.68,9.7068,8.72662,1,Yes
174,509,1809,602.5,4914.16,7.69286,8.15628,3,Yes
175,1322,1719,405.716,2829.39,5.31013,6.97382,4,Yes
176,1801,1368,1262.34,6568.75,9.20468,5.20363,1,Yes
177,59,451,2490.58,13752.9,17.5818,5.52196,1,Yes
178,1807,288,942.417,7612.38,14.2136,8.07751,3,Yes
179,19,1640,567.309,3859.61,7.18083,6.80337,4,Yes
180,1751,1893,856.538,9151.66,17.0471,10.6845,5,Yes
181,1172,234,1088.88,9235.89,10.9244,8.482,2,Yes
182,1578,1603,779.957,8521.5,13.7898,10.9256,2,Yes
183,1533,1691,541.015,4920.67,7.83619,9.09526,4,Yes
184,103,1352,257.106,1685.87,3.01731,6.55711,3,Yes
185,1678,1462,1473.19,6157.08,7.32088,4.17943,3,Yes
186,1819,1512,1810.6,11265.9,17.5804,6.22216,4,Yes
187,281,1770,940.317,6459.66,9.15443,6.86965,2,Yes
188,1220,1450,777.457,3000.95,4.65299,3.85996,3,Yes
189,1858,1744,497.621,4105.05,4.92513,8.24935,5,Yes
190,1556,1487,216.604,4315.51,6.48282,19.9235,5,Yes
191,1939,1367,1019.4,8858.08,17.5929,8.68952,5,Yes
192,1728,19,1337.72,11289.6,16.6294,8.43943,2,Yes
193,396,1527,353.712,4500.32,5.69808,12.7231,3,Yes
194,1400,1376,22,408.805,0.718299,18.582,4,Yes
195,117,1622,1283.73,11590.7,13.9288,9.02893,3,Yes
196,606,1903,131.199,393.324,0.526684,2.99793,1,Yes
197,737,1634,1661.44,11432.3,18.5125,6.88096,2,Yes
198,1338,1318,1130.77,8502.97,11.721,7.51962,3,Yes
199,1063,1925,1505.58,7947.42,12.1673,5.27865,4,Yes
200,1675,981,624.894,6247.07,6.69949,9.99701,4,Yes
201,1094,1329,418.516,2757.44,5.07957,6.5886,3,Yes
202,1339,667,644.89,5517.3,10.4574,8.55542,3,Yes
203,1604,1507,815.548,5533.14,10.9785,6.78457,3,Yes
204,1496,791,657.187,3320.43,6.24581,5.05249,2,Yes
205,423,977,880.932,8537.61,13.5765,9.69157,1,Yes
206,605,1765,1725.43,15015.4,17.9369,8.70243,5,Yes
207,1513,1618,93.0992,1265.36,1.28504,13.5916,5,Yes
208,702,1771,1266.24,11783.4,13.7684,9.30584,5,Yes
209,1529,1486,253.206,4273.48,5.73603,16.8775,3,Yes
210,1469,1805,1180.26,9890.94,16.3374,8.38031,5,Yes
211,1296,1320,5.9,42.085,0.0506099,7.13306,2,Yes
212,1362,1374,67.9995,1340.51,1.38851,19.7135,5,Yes
213,1627,905,2311.3,16752.9,17.1405,7.24824,4,Yes
214,991,1457,839.942,6501.2,12.2499,7.74006,3,Yes
215,704,1765,1847.6,16233.5,26.3149,8.78629,1,Yes
216,1422,193,732.368,7793.56,14.9528,10.6416,2,Yes
217,1356,1399,1826.7,9396.32,9.47256,5.14388,5,Yes
218,1492,1654,1104.38,10321.3,11.9609,9.34581,4,Yes
219,1359,1409,114.899,2215.08,2.31592,19.2785,1,Yes
220,1519,1517,2027.55,15548.5,30.8182,7.6686,5,Yes
221,1619,1252,1269.04,6236.72,7.50568,4.91453,2,Yes
222,1668,1681,91.1992,1104.91,1.74858,12.1154,5,Yes
223,1858,99,563.11,7005.7,10.3524,12.4411,4,Yes
224,1653,1353,607.499,3415.71,6.19454,5.62258,5,Yes
225,1463,639,341.612,3116.21,5.29138,9.12209,1,Yes
226,1582,64,564.209,6768.38,11.2307,11.9962,4,Yes
227,1394,794,2677.26,18523.8,29.6698,6.91892,4,Yes
228,1,1939,2096.89,10189.2,11.1996,4.85918,5,Yes
229,650,1594,1892.78,16384.3,19.2636,8.65618,5,Yes
230,1562,15,939.418,3755.28,6.90361,3.99745,3,Yes
231,395,1444,404.615,5320.07,9.87813,13.1485,1,Yes
232,1386,102,1060.69,10485.7,15.682,9.88579,1,Yes
233,1370,1732,1459.69,6425.9,9.70379,4.40224,1,Yes
234,1396,1584,194.003,1506.09,1.51675,7.76323,1,Yes
235,1390,1872,2267.36,16728.2,21.9027,7.37781,4,Yes
236,55,1703,848.64,4779.38,7.01521,5.63181,1,Yes
237,1740,1360,494.621,5623.36,8.06155,11.369,4,Yes
238,108,491,2340.23,15502.3,19.7051,6.62427,4,Yes
239,1582,1662,467.419,3476.83,4.74332,7.43836,1,Yes
240,1818,1682,1733.02,9755.06,13.4416,5.62892,3,Yes
241,1526,1534,260.407,3244.62,6.11405,12.4598,4,Yes
242,1610,408,827.045,7441.3,7.70538,8.99746,1,Yes
243,1810,1440,460.619,6631.93,12.2486,14.3979,2,Yes
244,1816,1869,977.908,7014.78,12.5149,7.17325,5,Yes
245,1454,1775,106.499,1716.43,2.28,16.1169,3,Yes
246,335,1824,1187.26,10002,14.7676,8.42445,1,Yes
247,209,1551,857.838,6781.68,9.04176,7.90555,3,Yes
248,1748,1343,72.5995,1474.91,2.64726,20.3157,4,Yes
249,1370,994,1712.63,7847.02,10.6712,4.58186,1,Yes
250,1009,1794,144.7,780.175,1.37792,5.39169,1,Yes
251,1382,1786,135.699,1694.63,3.0156,12.4881,2,Yes
252,1338,34,1100.68,8478.44,14.3677,7.70292,4,Yes
253,1399,1608,114.999,1628.04,2.36576,14.157,1,Yes
254,1439,1940,711.973,4912.84,6.45806,6.90032,1,Yes
255,1567,1178,1148.77,10021.7,13.4614,8.72388,3,Yes
256,1202,1384,2052.45,11678.4,13.3935,5.68998,1,Yes
257,1386,1775,749.864,8738.81,14.1743,11.6539,5,Yes
258,1683,1411,1106.48,10294.7,12.0771,9.304,3,Yes
259,1627,1937,1397.61,6619.89,12.8493,4.73659,2,Yes
260,1792,558,878.633,7809.94,9.50066,8.88874,5,Yes
261,1361,1729,2015.65,8805.82,16.1979,4.36871,2,Yes
262,1053,387,308.71,3117.93,6.14709,10.0999,2,Yes
263,1488,112,1133.37,9328.02,15.4109,8.23033,4,Yes
264,700,1621,1979.46,17234.2,20.0101,8.70649,5,Yes
265,37,1543,389.415,3575.2,4.68593,9.18097,3,Yes
266,1481,1358,103.099,1865.88,2.88718,18.098,3,Yes
267,350,42,1231.75,10742.9,14.2051,8.72168,2,Yes
268,995,1377,127.999,1320.72,1.51076,10.3182,5,Yes
269,768,1416,1721.93,16083.1,28.7292,9.34019,1,Yes
270,1535,1870,2281.07,14064.3,27.7369,6.16566,3,Yes
271,1924,1082,1212.85,9689.92,13.0821,7.98938,2,Yes
272,1551,1556,143.9,1828.3,2.86355,12.7054,1,Yes
273,1475,83,424.317,3910.3,4.8613,9.21553,5,Yes
274,1862,1571,542.315,4342.06,6.44841,8.00654,2,Yes
275,1661,1626,1251.44,10624,15.7244,8.48944,2,Yes
276,1608,1347,47.9998,302.885,0.312774,6.31013,3,Yes
277,1350,1393,337.111,4256.38,8.0199,12.626,4,Yes
278,1646,1624,710.873,5196.76,7.44294,7.31039,3,Yes
279,1371,1466,1544.67,8078.42,8.17482,5.22987,5,Yes
280,1657,1348,1552.77,10024.8,13.6007,6.45611,2,Yes
281,1544,1610,1114.97,9514.35,12.5045,8.53325,1,Yes
282,1445,1606,1296.73,10835,16.107,8.35564,5,Yes
283,224,1632,907.725,5942.43,6.53742,6.5465,1,Yes
284,1436,1520,536.116,3150.03,5.08784,5.87564,3,Yes
285,1942,1362,861.637,5029.36,9.90463,5.83699,2,Yes
286,1740,1349,547.813,5730.93,9.38029,10.4615,5,Yes
287,1498,729,392.315,2397.63,3.91472,6.11149,1,Yes
288,1241,914,2420.91,14692.1,24.2361,6.06885,3,Yes
289,1823,1816,1922.58,11748.4,20.6478,6.11077,4,Yes
290,1558,1610,1400.51,9486.49,13.9892,6.77362,5,Yes
